"Item","Price","Serving Size","Calories","Cal from Fat","Total fat","sat fat","trans fat","cholesteral","sodium","carb","fiber","sugar","portien"
"","","(oz)","","(g)","(g)","(g)","(g)","(mg)","(mg)","(g)","(g)","(g)","(g)"
"SIDE","","","","","","","","","","","","",""
"Chow Mein","","9.4 oz","510","180","20","3.5","0","0","860","80","6","9","13"
"Chow Fun*","","8.5 oz","410","80","9","1","0","0","1110","73","1","6","9"
"Fried Rice","","9.3 oz","520","140","16","3","0","120","850","85","1","3","11"
"Brown Steamed Rice","","10.4 oz","420","35","4","1","0","0","15","86","4","1","9"
"White Steamed Rice","","8.1 oz","380","0","0","0","0","0","0","87","0","0","7"
"Mixed Vegetables (Side)","","8.6 oz","80","5","0.5","0","0","0","540","16","5","5","4"
"VEGETABLES","","","","","","","","","","","","",""
"Country Style Bean Curd*","","5.7 oz","191","113","12","1.5","0","0","945","14","2","8","7"
"Eggplant Tofu*","","6.1 oz","340","220","24","3.5","0","0","520","23","3","17","7"
"Hot Szechuan Tofu*","","5.5 oz","140","70","8","1","0","0","580","10","2","5","6"
"Mixed Veggies (Entree)","","4.3 oz","35","0","0","0","0","0","280","8","3","2","2"
"CHICKEN","","","","","","","","","","","","",""
"Black Pepper Chicken","","6.3 oz","280","160","19","3.5","0","55","1130","15","1","7","13"
"Kung Pao Chicken","","6.2 oz","290","170","19","3.5","0","55","970","14","2","6","16"
"Grilled Teriyaki Chicken","","6 oz","300","120","13","4","0","185","530","8","0","8","36"
"Grilled Asian Chicken","","6 oz","300","120","13","4","0","185","530","8","0","8","36"
"Teriyaki Chicken","","6 oz","340","110","13","3.5","0","195","630","14","3","10","41"
"","","","","","","","","","","","","",""
"Asian Chicken","","6 oz","340","110","13","3.5","0","195","630","14","3","10","41"
"Mushroom Chicken","","5.7 oz","220","130","14","2.5","0","50","840","11","1","4","12"
"Orange Chicken","","5.7 oz","370","160","18","3.5","0","80","610","44","0","19","13"
"Potato Chicken*","","5.2 oz","190","90","10","2","0","30","680","18","2","4","8"
"CHICKEN BREAST","","","","","","","","","","","","",""
"String Bean Chicken Breast","","5.6 oz","190","80","9","2","0","34","590","13","4","4","14"
"SweetFire Chicken BreastTM","","5.8 oz","380","140","15","3","0","35","320","47","1","27","13"
"Sweet & Sour Chicken Breast*","","5.5 oz","300","110","12","3","0","25","260","40","1","24","10"
"BEEF","","","","","","","","","","","","",""
"Beijing BeefTM","","5.6 oz","470","240","26","5","0","25","660","46","1","24","13"
